"MOVIE_ID","NAME","ALIAS","ACTORS","COVER","DIRECTORS","DOUBAN_SCORE","DOUBAN_VOTES","GENRES","IMDB_ID","LANGUAGES","MINS","OFFICIAL_SITE","REGIONS","RELEASE_DATE","SLUG","STORYLINE","TAGS","YEAR","ACTOR_IDS","DIRECTOR_IDS"
"1298497","赤胆屠龙 - 电影","赤胆威龙","约翰·韦恩/迪恩·马丁/瑞奇·尼尔森/安吉·迪金森/沃尔特·布伦南","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2362733797.jpg","霍华德·霍克斯","0.0","2556.0","剧情/喜剧/爱情/西部","tt0053221","英语 / 西班牙语","141.0","","美国","1959-03-18","J37IvaUJf","德克萨斯的一个镇上，警长John T Chance（约翰·韦恩 John Wayne饰）和副警长酒鬼Dude（迪恩·马丁 Dean Martin饰）将作恶多端的Joe Burdette绳之以法，并将其关在监狱里，和另一个警员瘸腿的Stumpy （沃尔特·布伦南 Walter Brennan 饰）一起看守，等待几天后审讯官的到来。此时，Chance的老友Pat Wheeler正好路经此地，并介绍Chance认识了一个叫Colorado Ryan（瑞奇·尼尔森 Ricky Nelson 饰）的男孩。而Chance也在一个酒店里认识了一个叫Feather（安吉·迪金森 Angie Dickinson 饰）的女人。Joe的哥哥Nathan带着人要来劫狱，先是派人杀死了Pat，又多次想要以Dude来威胁Chance放人。Chance等人与其斗智斗勇，在这个过程中，Chance发现了Colorado的勇敢并将其招入警队；而酒鬼Dude又要如何与自己的酗酒对抗，以争回自己的尊严，Chance能否带着一个酒鬼、一个瘸子和一个男孩来战胜Nathan的一次次进逼？","美国/西部片/西部/霍华德·霍克斯/1959/约翰韦恩/美国电影/HowardHawks","1959.0","",""
"1298505","火车怪客","列车上的陌生人 / 追魂记 / 列车上的生人","法利·格兰杰/露丝·罗曼/罗伯特·沃克/里奥.G.卡罗尔/帕特里夏·希区柯克/凯茜·罗杰斯/马里恩·洛恩/乔纳森·哈勒/霍华德·圣约翰/约翰·布朗/诺玛·威登/罗伯特·吉斯特","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155823844.jpg","阿尔弗雷德·希区柯克","8.0","16319","惊悚/犯罪/黑色电影","tt0044079","英语 / 法语","101","","美国","1951-06-30","mN2zFZRAe","凯亨（法利·格兰杰）恨自己不守妇道的妻子，意图谋害；布鲁罗（罗伯特·沃特）想杀死自己的父亲。一次他们在火车上偶遇，两人互诉衷肠，协议互换杀人。布鲁罗轻松的杀掉了凯亨的妻子，凯亨却难以下手。布鲁罗以嫁祸凯亨相要挟，转瞬间凯亨从杀人走向了为自己洗脱罪责而奔命。","希区柯克/悬疑/美国/犯罪/1951/黑白/惊悚/黑色电影","1951","法利·格兰杰:1010651|露丝·罗曼:1036688|罗伯特·沃克:1166209|里奥.G.卡罗尔:1055079|帕特里夏·希区柯克:1009414|凯茜·罗杰斯:1142982|马里恩·洛恩:1116870|乔纳森·哈勒:1002890|霍华德·圣约翰:1153582|约翰·布朗:1076154|诺玛·威登:1156944|罗伯特·吉斯特:1028255","阿尔弗雷德·希区柯克:1025185"
"1298506","史崔特先生的故事 - 电影","斯特雷德的故事 / 路直路弯","茜茜·斯派塞克/理查德·法恩斯沃斯/丹·弗兰纳里/埃德·格伦南/埃沃雷特·麦克吉尔/凯文·P·法利/约翰法利/哈利·戴恩·斯坦通","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1634826666.jpg","大卫·林奇","0.0","15429.0","剧情/传记/冒险","tt0166896","英语","112.0","http://disney.go.com/DisneyPictures/straightstory/index.html","法国 / 英国 / 美国","1999-05-21","VvMmzFfUf","阿尔文史崔特先生（理查德·法恩斯沃斯 Richard Farnsworth 饰）已经七十多岁了，他不仅个性孤僻古怪，视力状况也每况愈下。史崔特先生和女儿罗斯（茜茜·斯派塞克 Sissy Spacek 饰）相依为命，父女两人的日子虽然过得清贫，但也不失宁静和乐趣。","大卫·林奇/公路/美国/剧情/DavidLynch/美国电影/1999/David_Lynch","1999.0","",""
"1298521","正午","日正当中 / 龙城歼霸战","加里·库珀/格蕾丝·凯利/托马斯·米切尔/劳埃德·布里吉斯/凯蒂·乔拉杜/奥托·克鲁格/小朗·钱尼/李·范·克里夫","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2228064849.jpg","弗雷德·金尼曼","8.4","14859","剧情/西部","tt0044706","英语","85","","美国","1952-07-07","jNAYRQIfa","小镇执法官威尔·凯恩（加里·库柏 Gary Cooper 饰）在卸任的当天，同未婚妻艾米（Grace Kelly 饰）举行了婚礼，两人预备开始蜜月旅行的当口，小镇迎来了三位不速之客，他们是皮尔斯、科比和本，三人在火车站等候五年前被威尔抓获的恶棍弗兰克·米勒。预感小镇将被卷入一场血腥仇杀的人们纷纷躲避，或者力劝威尔离开，但前任执法官执意留下，并开始在镇上寻找帮手，岂料不得升迁的员警哈维、当年审判弗兰克的法官等人全部与此事撇清了关系，新婚妻子亦不支持威尔的坚守，孤立无援的威尔只得拿起自己的枪战斗……","美国/西部片/西部/经典/黑白/美国电影/1952/牛仔","1952","加里·库珀:1048160|格蕾丝·凯利:1041083|托马斯·米切尔:1124117|劳埃德·布里吉斯:1013897|凯蒂·乔拉杜:1014171|奥托·克鲁格:1104732|小朗·钱尼:1007055|李·范·克里夫:1013853","弗雷德·金尼曼:1045186"
"1298656","乱世忠魂","永垂不朽 / 红粉忠魂未了情","伯特·兰卡斯特/蒙哥马利·克利夫特/黛博拉·蔻儿/唐娜·里德/弗兰克·辛纳特拉","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2193583871.jpg","弗雷德·金尼曼","7.5","1760","剧情/爱情/战争","tt0045793","英语","118","","美国","1953-08-05","RmFvMQuMe","故事发生在1941年的夏天，帕维特（蒙哥马利·克利夫特 Montgomery Clift 饰）刚刚被调到夏威夷军营，连长霍默思（Philip Ober 饰）看到帕维特体格壮硕，便邀请他加入军中的拳击队。没想到，帕维特拒绝了霍默思的邀请，这令霍默思感到愤怒又难堪。帕维特也曾是拳击界的一把好手，但一次意外中他打伤了对手的眼睛致其失明，悔恨交加的他发誓永远不再站上擂台。","美国/战争/爱情/1953/奥斯卡最佳影片/美国电影/黑白/奥斯卡","1953","伯特·兰卡斯特:1041141|蒙哥马利·克利夫特:1027230|黛博拉·蔻儿:1027301|唐娜·里德:1004756|弗兰克·辛纳特拉:1036413","弗雷德·金尼曼:1045186"
"1298733","日落大道 - 电影","红楼金粉","威廉·霍尔登/葛洛丽亚·斯旺森/埃里克·冯·施特罗海姆/南希·奥尔森/弗雷德·克拉克/巴斯特·基顿","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1119483806.jpg","比利·怀德","0.0","30439.0","剧情/黑色电影","tt0043014","英语","110.0","","美国","1950-08-10","IJ37uEZ3b","过气演员诺玛（葛洛丽亚·斯旺森 Gloria Swanson 饰）已经将近50岁，曾经的风华绝代正在她居住的荒废豪宅里慢慢凋谢，身边只有好友马克思（埃里克·施特罗海姆Erich von Stroheim）伺奉。她没放弃重燃光辉的梦想，《莎乐美》的剧本正待编写，而逃避债务逃至此地的没落编剧乔（威廉·霍尔登 William Holden饰），正是这项事业的最佳候选。诺玛收留他住下，给他提供舒适的环境写作，并慢慢的倾心于他。但是，乔并不能接受这个青春已逝的妇人。他拒绝了她，并转过身和另一个美丽的女子谋划新的剧本，他们相爱，打得火热。","美国/黑白/经典/黑色电影/1950/剧情/比利怀尔德/黑色","1950.0","",""
"1298784","征服者佩尔","征服者佩利 / 征服者贝莱 / 征服者佩莱 / 赤子雄心 / 比利小英雄","贝利·赫维内加拉德/马克斯·冯·叙多夫/埃里克·帕斯卡/比约恩·格拉纳特","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2383383703.jpg","比利·奥古斯特","8.6","2819","剧情","tt0093713","丹麦语 / 瑞典语","157","","丹麦 / 瑞典","1987-12-25","biFJBuaUf","故事发生在十九世纪末北欧，混乱的局势衰颓的经济令人民们陷入了民不聊生的境地。农民拉斯卡森（马克斯·冯·西多 Max von Sydow 饰）带着儿子佩尔（贝利·赫维内加拉德 Pelle Hvenegaard 饰）来到丹麦，希望能够在这里依靠自己的双手挣得更体面的生活。","丹麦/瑞典/金棕榈/儿童/励志/剧情/1987/欧洲","1987","贝利·赫维内加拉德:1106362|马克斯·冯·叙多夫:1002675|埃里克·帕斯卡:1130478|比约恩·格拉纳特:1091838","比利·奥古斯特:1041311"
"1298873","刀马旦","","钟楚红/林青霞/叶倩文/郑浩南/午马/张国强/秦沛/谷峰/曾江/吴君如","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520877660.jpg","徐克","7.7","16654","喜剧/动作","tt0090952","粤语","104","","中国香港","1986-09-06","ZRmzVJfqa","民初时代国家动荡不安，军阀割据导致民不聊生。曹云(林青霞饰)是大军阀曹将军的女儿，也是一个爱国者。但是不愿见到父亲帮助袁世凯以国家的名义向外国银行借贷巨款，让国家的财务更雪上加霜，于是偷偷与革命人士联络。但是一边是国家，一边是父亲也让曹云不知如何取舍而陷入内心的挣扎。白妞(叶倩文饰)从小在戏班春和班长大，被戏班主的父亲（午马饰）当作丫环使，痴迷唱戏的她一直希望登台表演，却没有机会；湘红(钟楚红饰)是一位贪财的歌妓，趁某军阀逃跑时偷走其家中一大箱珠宝，却误打误撞让珠宝运进了春和班里。这三位在姻缘巧合下结识，透过这三位主角的生命交错，共同谱出一段爱国传奇......","徐克/林青霞/香港/香港电影/钟楚红/叶倩文/动作/1986","1986","钟楚红:1005541|林青霞:1044746|叶倩文:1028614|郑浩南:1028605|午马:1054282|张国强:1274568|秦沛:1048476|谷峰:1054239|曾江:1275451|吴君如:1127819","徐克:1007152"
"1298944","无言的山丘 - 电影","","杨贵媚/黄品源/澎恰恰/文英/陈仙梅","https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522310203.jpg","王童","0.0","4729.0","剧情/历史","tt0108602","闽南语 / 日语","176.0","","台湾","1992-12-05","ERuaE3FBe","1927年，大量贫苦农民涌向台湾九份山区金瓜石，圆他们的淘金梦。憨厚的佃农阿助、阿尾兄弟随着淘金人潮来到九份，投租在寡妇阿柔的陋屋里。阿柔是位人称克夫运的可怜女人，她与阿助日久生情。淘金热的兴起，使九份充斥着走私与色情。日本方面派才俊柴田负责治理金矿的秩序。然而，矿工与妓院勾结，黄金交易日益猖獗，抗争事件纷乱迭起，才俊被杀。阿助与阿柔婚后不久病故，阿柔欲哭无泪，带着四个孩子及亡夫的牌位，落寞地离开九份……","台湾/王童/台湾电影/吴念真/无言的山丘/剧情/1992/历史","1992.0","",""
"1298974","我心狂野","野性难驯 / 不羁的心","尼古拉斯·凯奇/劳拉·邓恩/威廉·达福/J·E·弗里曼/戴安·拉德/卡尔文·洛克哈特/伊莎贝拉·罗西里尼/哈利·戴恩·斯坦通/格蕾丝·扎布里斯基/雪琳·芬/马尔温·卡普兰/威廉姆·摩根·谢泼德/大卫·帕特里克·凯利/弗雷迪·琼斯","https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1218720978.jpg","大卫·林奇","7.4","19994","爱情/惊悚/犯罪","tt0100935","英语","125","","美国","1990-08-17","mj7IBQeyb","因杀人而入狱的塞勒（尼古拉斯•凯奇 Nicolas Cage 饰）终于熬过几年铁窗生涯获释了，心上人罗拉（劳拉•邓恩 Laura Dern 饰）迎接了他的出狱。有情人又得以团聚，但罗拉的母亲玛丽一直都不喜欢塞勒，一直在阻挠女儿和塞勒来往。两人只好相约私奔，来到了南方。","大卫·林奇/尼古拉斯·凯奇/美国/爱情/DavidLynch/暴力/美国电影/NicolasCage","1990","尼古拉斯·凯奇:1054455|劳拉·邓恩:1006983|威廉·达福:1010539|J·E·弗里曼:1087142|Crispin Glover:|戴安·拉德:1036507|卡尔文·洛克哈特:1123931|伊莎贝拉·罗西里尼:1019046|哈利·戴恩·斯坦通:1010582|格蕾丝·扎布里斯基:1167026|雪琳·芬:1004609|马尔温·卡普兰:1113990|威廉姆·摩根·谢泼德:1144898|大卫·帕特里克·凯利:1105073|弗雷迪·琼斯:1049921","大卫·林奇:1054578"
